wn,acac,ozone,h2o
724.2598165,1.34247E-05,3.05436E-06,-3.06E-08
724.3803457,1.38637E-05,2.92611E-06,-3.16E-08
724.5008749,1.43977E-05,2.86574E-06,-3.28E-08
724.621404,1.49603E-05,2.90466E-06,-3.41E-08
724.7419332,1.54863E-05,3.05348E-06,-3.53E-08
724.8624624,1.59326E-05,3.29274E-06,-3.63E-08
724.9829916,1.62833E-05,3.58069E-06,-3.71E-08
725.1035207,1.65315E-05,3.85937E-06,-3.77E-08
725.2240499,1.6676E-05,4.07305E-06,-3.80E-08
725.3445791,1.67114E-05,4.18609E-06,-3.81E-08
725.4651083,1.66253E-05,4.19007E-06,-3.79E-08
725.5856374,1.64147E-05,4.10645E-06,-3.74E-08
725.7061666,1.60914E-05,3.97174E-06,-3.67E-08
725.8266958,1.56935E-05,3.83305E-06,-3.58E-08
725.947225,1.52817E-05,3.72666E-06,-3.48E-08
726.0677541,1.49215E-05,3.67181E-06,-3.40E-08
726.1882833,1.46721E-05,3.6665E-06,-3.35E-08
726.3088125,1.45535E-05,3.69017E-06,-3.32E-08
726.4293417,1.45498E-05,3.71737E-06,-3.32E-08
726.5498708,1.46066E-05,3.71782E-06,-3.33E-08
726.6704,1.4655E-05,3.67E-06,-3.34E-08
726.7909292,1.46352E-05,3.58E-06,-3.34E-08
726.9114584,1.45141E-05,3.43E-06,-3.31E-08
727.0319876,1.43005E-05,3.25E-06,-3.26E-08
727.1525167,1.40428E-05,3.05E-06,-3.20E-08
727.2730459,1.38121E-05,2.87437E-06,-3.15E-08
727.3935751,1.36786E-05,2.73374E-06,-3.12E-08
727.5141043,1.36991E-05,2.65304E-06,-3.12E-08
727.6346334,1.39006E-05,2.64022E-06,-3.17E-08
727.7551626,1.4279E-05,2.69594E-06,-3.26E-08
727.8756918,1.47969E-05,2.80538E-06,-3.37E-08
727.996221,1.53957E-05,2.94844E-06,-3.51E-08
728.1167501,1.60025E-05,3.10389E-06,-3.65E-08
728.2372793,1.65402E-05,3.25559E-06,-3.77E-08
728.3578085,1.69354E-05,3.39735E-06,-3.86E-08
728.4783377,1.71376E-05,3.53469E-06,-3.91E-08
728.5988668,1.7119E-05,3.67955E-06,-3.90E-08
728.719396,1.68912E-05,3.84278E-06,-3.85E-08
728.8399252,1.64958E-05,4.03058E-06,-3.76E-08
728.9604544,1.60044E-05,4.23874E-06,-3.65E-08
729.0809835,1.55022E-05,4.44912E-06,-3.53E-08
729.2015127,1.50646E-05,4.64293E-06,-3.43E-08
729.3220419,1.47476E-05,4.79825E-06,-3.36E-08
729.4425711,1.45746E-05,4.90268E-06,-3.32E-08
729.5631002,1.45305E-05,4.95424E-06,-3.31E-08
729.6836294,1.4569E-05,4.95822E-06,-3.32E-08
729.8041586,1.46249E-05,4.92238E-06,-3.33E-08
729.9246878,1.46221E-05,4.85024E-06,-3.33E-08
730.0452169,1.44939E-05,4.73785E-06,-3.30E-08
730.1657461,1.41965E-05,4.57412E-06,-3.24E-08
730.2862753,1.3715E-05,4.34802E-06,-3.13E-08
730.4068045,1.30833E-05,4.05336E-06,-2.98E-08
730.5273336,1.23701E-05,3.69902E-06,-2.82E-08
730.6478628,1.16797E-05,3.30756E-06,-2.66E-08
730.768392,1.11296E-05,2.91527E-06,-2.54E-08
730.8889212,1.08179E-05,2.55753E-06,-2.47E-08
731.0094503,1.07977E-05,2.26416E-06,-2.46E-08
731.1299795,1.10595E-05,2.04996E-06,-2.52E-08
731.2505087,1.15267E-05,1.90694E-06,-2.63E-08
